"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bolivia","BOL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.77041","98.73998","96.01155","92.40764","90.46405","91.31645","92.86689","",
"Brazil","BRA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.22961","114.19943","109.36661","100.68465","","","","","","","","","","","","","","",
"Barbados","BRB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.90099","98.39069","106.10086","103.50358","106.63695","97.68484","91.67086","93.93862","92.29971","94.60026","95.74749","95.61658","98.21896","","","","","","","",
"Brunei Darussalam","BRN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","105.97932","105.65018","111.18421","98.00518","110.15047","103.82118","101.51589","100.54801","89.5039","90.80334","80.80404","82.80808","57.22352","","123.63359","","","","","98.54566","99.71207","98.21176","101.03111","99.27599","","109.20255","115.25558","116.61053","114.80815","121.67613","117.53295","119.99123","111.28146","107.35931","107.68566","107.49107","105.36371","101.97784","105.35389","110.92974","106.99311","106.10853","100.13226","102.06525","","106.52208","",
"Bhutan","BTN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","5.46657","5.8286","8.5054","9.35763","","","","","","","","","19.12873","","","","","24.1138","28.55048","","","","45.79889","48.99689","49.50094","50.43721","","","60.35946","66.43449","71.36739","72.78609","78.40036","80.54729","86.73383","88.09697","97.69799","95.20152","94.74519","","97.41589","95.11671","",
"Botswana","BWA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","36.75611","41.76188","48.34696","52.76944","55.77521","52.80643","47.36438","43.83064","50.65413","62.8768","67.4473","77.3281","80.6563","73.01487","75.46548","80.59609","89.98766","91.90763","88.71101","86.02602","88.32362","88.78289","89.28067","88.39832","92.6476","89.0249","91.56376","","94.06529","92.94247","93.73611","96.36115","97.32319","97.06631","96.61396","96.28846","99.74912","96.1308","97.04066","98.10179","","","100.89007","101.95772","69.18364","","","","",
"Central African Republic","CAF","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","27.33168","25.73757","31.94162","28.24358","35.78132","30.73302","32.47463","40.11842","","","30.11982","29.77952","26.57859","","","37.34767","27.73554","28.78207","28.34105","30.10823","27.91326","22.43461","","","","","","","","","","","","23.66221","25.94951","26.05538","","35.05311","37.60859","39.76394","41.5809","43.7301","","","","42.15803","","",
"Canada","CAN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.15111","95.61867","97.30352","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","92.45945","92.49623","91.9856","91.96036","94.18434","94.11238","95.04986","94.78486","94.54539","94.3522","94.02679","92.90705","92.48696","92.69053","93.57236","96.11424","94.86538","95.01972","94.73489","94.39275","93.06301","90.76529","90.7936","91.16722","91.58844","92.28661","94.75114","96.84788","96.45669","96.0321","96.25647","97.6993","96.95549","97.65953","98.75699","97.56291","96.2237","95.56656","94.53945","95.42266","96.85764","97.20526","96.12612","96.55802","96.2846","97.082","96.98333","96.99442","",
"Switzerland","CHE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","52.70592","59.78228","57.56407","56.15332","51.99665","51.69939","52.03975","51.20668","50.69711","49.85045","49.4185","48.47692","49.87875","51.25818","53.62751","55.17293","61.18014","62.2273","","72.85516","","","95.22665","96.27847","97.65063","97.88513","98.0931","99.05979","96.60106","93.58761","93.032","94.08937","95.80027","95.90156","96.37577","97.13829","96.59358","95.32806","95.53907","96.61219","","",
