"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Barbados","BRB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.60752","16.52777","20.55063","18.71077","19.39258","19.2675","19.03422","","18.02457","15.6306","16.10587","18.09633","","16.70269","14.84482","17.45106","","14.14039","12.86344","",
"Brunei Darussalam","BRN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","13.07099","11.23897","","","","","9.58601","11.84343","10.06579","8.71027","8.22682","9.18063","9.276","","","","","8.76089","8.89343","8.92074","","","","","","","","","","5.29154","9.18219","9.72782","","9.98591","","11.44361","","",
"Bhutan","BTN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.77201","13.08501","","","18.69831","22.84906","","","15.02172","14.13973","11.02578","11.28502","","16.16983","17.82422","26.35213","26.18062","24.04098","",
"Botswana","BWA","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","14.32691","15.5187","15.42983","15.49169","16.69395","16.03128","","16.51088","","16.31502","","","","","","","","","","","","","25.82353","","26.50779","","20.4774","","","","","","","","","",
"Central African Republic","CAF","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.14008","9.92337","","","","","","","","8.94932","9.93077","","9.21472999999999","12.02802","12.06446","9.68047","10.05424","9.86947999999999","7.86","7.83693","6.47538","7.82546","","","","","","","",
"Canada","CAN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","15.5789","15.53181","14.77497","14.0908","13.23688","12.6832","13.45583","13.53854","13.56977","13.19062","14.2638","13.11614","14.62348","12.93443","12.86363","","","12.63958","12.74188","12.9826","12.21224","12.1479","","","12.17807","","12.32856","12.00996","12.48364","12.33596","12.21914","","","","","","","",
"Central Europe and the Baltics","CEB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.72865","","11.27881","10.139015","10.32361","11.14328","10.92235","11.64438","11.0059","12.07252","12.337945","11.26715","11.964125","11.07648","11.06464","10.98486","10.958945","10.71742","11.27432","11.58267","","","",
"Switzerland","CHE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","15.72518","15.65257","15.86462","15.58489","16.29344","15.94885","17.32631","17.31716","","16.31759","15.68916","15.47743","15.44456","","14.70215","14.46688","14.64065","15.42771","15.31152","16.33489","16.22231","15.8207","15.97005","15.67513","16.00964","15.64362","15.39088","15.5535","15.64387","15.209","15.4618","15.52806","","","",
"Channel Islands","CHI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.51883","14.13242","15.02462","15.75999","14.50414","15.17037","15.65222","16.42791","","17.4506","17.63722","17.02105","16.19909","16.23128","16.74641","17.40113","17.03561","17.84356","17.74974","","19.64569","19.92072","19.59405","21.17977","","",
